"Architecture"	"Complexity"	"Convergence"
"architecture 1"	101	FALSE
"architecture 1"	104	FALSE
"architecture 1"	106	FALSE
"architecture 1"	106	FALSE
"architecture 1"	107	FALSE
"architecture 1"	107	FALSE
"architecture 1"	108	FALSE
"architecture 1"	109	FALSE
"architecture 1"	111	TRUE
"architecture 1"	112	FALSE
"architecture 1"	113	FALSE
"architecture 1"	113	FALSE
"architecture 1"	115	FALSE
"architecture 1"	116	TRUE
"architecture 1"	120	FALSE
"architecture 1"	122	FALSE
"architecture 1"	125	FALSE
"architecture 1"	126	FALSE
"architecture 1"	127	FALSE
"architecture 1"	127	FALSE
"architecture 1"	133	FALSE
"architecture 1"	137	FALSE
"architecture 1"	146	FALSE
"architecture 1"	148	FALSE
"architecture 1"	151	FALSE
"architecture 1"	152	FALSE
"architecture 1"	156	TRUE
"architecture 1"	160	TRUE
"architecture 1"	161	FALSE
"architecture 1"	161	FALSE
"architecture 1"	163	FALSE
"architecture 1"	167	TRUE
"architecture 1"	170	FALSE
"architecture 1"	170	FALSE
"architecture 1"	173	FALSE
"architecture 1"	173	FALSE
"architecture 1"	175	FALSE
"architecture 1"	175	FALSE
"architecture 1"	176	FALSE
"architecture 1"	177	FALSE
"architecture 1"	177	FALSE
"architecture 1"	179	FALSE
"architecture 1"	180	FALSE
"architecture 1"	180	FALSE
"architecture 1"	180	FALSE
"architecture 1"	180	FALSE
"architecture 1"	181	FALSE
"architecture 1"	182	FALSE
"architecture 1"	189	FALSE
"architecture 1"	194	TRUE
"architecture 1"	196	FALSE
"architecture 1"	197	FALSE
"architecture 1"	200	TRUE
"architecture 1"	200	TRUE
"architecture 1"	201	FALSE
"architecture 1"	202	FALSE
"architecture 1"	202	TRUE
"architecture 1"	207	FALSE
"architecture 1"	208	TRUE
"architecture 1"	213	FALSE
"architecture 1"	218	FALSE
"architecture 1"	219	TRUE
"architecture 1"	226	FALSE
"architecture 1"	235	FALSE
"architecture 1"	235	TRUE
"architecture 1"	235	TRUE
"architecture 1"	236	TRUE
"architecture 1"	236	TRUE
"architecture 1"	240	FALSE
"architecture 1"	240	FALSE
"architecture 1"	241	TRUE
"architecture 1"	242	TRUE
"architecture 1"	245	FALSE
"architecture 1"	247	FALSE
"architecture 1"	248	TRUE
"architecture 1"	248	TRUE
"architecture 1"	251	TRUE
"architecture 1"	251	FALSE
"architecture 1"	252	TRUE
"architecture 1"	253	FALSE
"architecture 1"	253	FALSE
"architecture 1"	259	TRUE
"architecture 1"	260	TRUE
"architecture 1"	261	TRUE
"architecture 1"	264	TRUE
"architecture 1"	270	FALSE
"architecture 1"	272	TRUE
"architecture 1"	273	FALSE
"architecture 1"	276	FALSE
"architecture 1"	280	TRUE
"architecture 1"	281	FALSE
"architecture 1"	283	TRUE
"architecture 1"	286	TRUE
"architecture 1"	287	FALSE
"architecture 1"	288	TRUE
"architecture 1"	289	TRUE
"architecture 1"	292	TRUE
"architecture 1"	293	FALSE
"architecture 1"	295	FALSE
"architecture 1"	299	FALSE
"architecture 2"	100	FALSE
"architecture 2"	101	TRUE
"architecture 2"	104	FALSE
"architecture 2"	105	FALSE
"architecture 2"	107	FALSE
"architecture 2"	108	TRUE
"architecture 2"	115	FALSE
"architecture 2"	115	FALSE
"architecture 2"	115	FALSE
"architecture 2"	115	TRUE
"architecture 2"	118	FALSE
"architecture 2"	120	TRUE
"architecture 2"	121	FALSE
"architecture 2"	123	FALSE
"architecture 2"	124	FALSE
"architecture 2"	125	FALSE
"architecture 2"	125	FALSE
"architecture 2"	128	FALSE
"architecture 2"	129	FALSE
"architecture 2"	129	FALSE
"architecture 2"	130	FALSE
"architecture 2"	132	FALSE
"architecture 2"	132	FALSE
"architecture 2"	133	FALSE
"architecture 2"	133	FALSE
"architecture 2"	133	TRUE
"architecture 2"	135	FALSE
"architecture 2"	135	FALSE
"architecture 2"	140	FALSE
"architecture 2"	141	FALSE
"architecture 2"	145	FALSE
"architecture 2"	146	FALSE
"architecture 2"	148	FALSE
"architecture 2"	149	FALSE
"architecture 2"	151	TRUE
"architecture 2"	152	FALSE
"architecture 2"	156	TRUE
"architecture 2"	156	FALSE
"architecture 2"	160	FALSE
"architecture 2"	163	TRUE
"architecture 2"	166	FALSE
"architecture 2"	167	FALSE
"architecture 2"	167	TRUE
"architecture 2"	171	TRUE
"architecture 2"	171	FALSE
"architecture 2"	175	FALSE
"architecture 2"	176	FALSE
"architecture 2"	178	FALSE
"architecture 2"	187	FALSE
"architecture 2"	187	FALSE
"architecture 2"	189	FALSE
"architecture 2"	194	TRUE
"architecture 2"	199	TRUE
"architecture 2"	200	FALSE
"architecture 2"	203	TRUE
"architecture 2"	205	FALSE
"architecture 2"	205	FALSE
"architecture 2"	206	TRUE
"architecture 2"	211	FALSE
"architecture 2"	212	FALSE
"architecture 2"	212	FALSE
"architecture 2"	213	TRUE
"architecture 2"	217	FALSE
"architecture 2"	217	FALSE
"architecture 2"	218	TRUE
"architecture 2"	220	TRUE
"architecture 2"	221	FALSE
"architecture 2"	226	FALSE
