"realism"	"acceptability"
1	3
2	8
2	13
4	12
4	17
5	21
6	23
6	28
7	27
7	24
7	26
9	36
13	46
13	48
13	45
14	49
15	50
16	57
16	52
16	54
17	53
18	57
19	61
19	61
19	60
19	65
20	65
21	69
23	68
24	72
24	70
26	80
27	77
27	82
28	79
29	82
30	79
31	85
33	88
33	84
36	91
36	92
40	92
41	99
42	95
43	98
43	99
44	97
44	100
44	99
46	100
46	98
48	97
49	100
50	100
52	99
53	100
54	100
54	99
59	98
61	97
61	97
62	96
62	96
64	92
64	91
67	86
69	84
70	83
70	84
72	80
72	79
73	76
74	78
75	73
76	71
77	69
78	72
79	65
80	62
82	58
82	57
83	55
86	47
87	43
88	39
89	42
89	38
89	35
91	34
92	26
93	27
93	25
96	12
97	12
98	3
99	7
99	4
99	6
100	1
