"Architecture"	"Complexity"	"Convergence"
"architecture 1"	100	FALSE
"architecture 1"	100	FALSE
"architecture 1"	102	FALSE
"architecture 1"	105	FALSE
"architecture 1"	108	FALSE
"architecture 1"	110	FALSE
"architecture 1"	111	FALSE
"architecture 1"	113	FALSE
"architecture 1"	114	FALSE
"architecture 1"	114	FALSE
"architecture 1"	117	FALSE
"architecture 1"	121	FALSE
"architecture 1"	124	FALSE
"architecture 1"	125	FALSE
"architecture 1"	127	FALSE
"architecture 1"	128	FALSE
"architecture 1"	129	FALSE
"architecture 1"	130	FALSE
"architecture 1"	131	FALSE
"architecture 1"	132	FALSE
"architecture 1"	133	TRUE
"architecture 1"	133	FALSE
"architecture 1"	137	FALSE
"architecture 1"	138	FALSE
"architecture 1"	148	FALSE
"architecture 1"	152	FALSE
"architecture 1"	153	FALSE
"architecture 1"	159	FALSE
"architecture 1"	159	FALSE
"architecture 1"	162	FALSE
"architecture 1"	169	FALSE
"architecture 1"	171	FALSE
"architecture 1"	173	FALSE
"architecture 1"	174	FALSE
"architecture 1"	174	FALSE
"architecture 1"	176	FALSE
"architecture 1"	179	FALSE
"architecture 1"	180	TRUE
"architecture 1"	181	TRUE
"architecture 1"	185	FALSE
"architecture 1"	187	FALSE
"architecture 1"	187	FALSE
"architecture 1"	187	FALSE
"architecture 1"	188	FALSE
"architecture 1"	189	TRUE
"architecture 1"	192	FALSE
"architecture 1"	192	TRUE
"architecture 1"	195	TRUE
"architecture 1"	195	FALSE
"architecture 1"	195	FALSE
"architecture 1"	196	FALSE
"architecture 1"	199	FALSE
"architecture 1"	200	FALSE
"architecture 1"	200	FALSE
"architecture 1"	200	FALSE
"architecture 1"	203	FALSE
"architecture 1"	203	TRUE
"architecture 1"	208	TRUE
"architecture 1"	216	FALSE
"architecture 1"	218	FALSE
"architecture 1"	221	FALSE
"architecture 1"	222	FALSE
"architecture 1"	232	FALSE
"architecture 1"	232	TRUE
"architecture 1"	233	FALSE
"architecture 1"	238	TRUE
"architecture 1"	238	FALSE
"architecture 1"	239	FALSE
"architecture 1"	241	TRUE
"architecture 1"	243	TRUE
"architecture 1"	243	FALSE
"architecture 1"	245	FALSE
"architecture 1"	248	FALSE
"architecture 1"	250	FALSE
"architecture 1"	252	FALSE
"architecture 1"	256	TRUE
"architecture 1"	259	TRUE
"architecture 1"	260	TRUE
"architecture 1"	265	TRUE
"architecture 1"	268	TRUE
"architecture 1"	269	TRUE
"architecture 1"	270	FALSE
"architecture 1"	273	FALSE
"architecture 1"	276	TRUE
"architecture 1"	276	TRUE
"architecture 1"	280	TRUE
"architecture 1"	284	TRUE
"architecture 1"	287	TRUE
"architecture 1"	287	TRUE
"architecture 1"	288	TRUE
"architecture 1"	288	FALSE
"architecture 1"	288	TRUE
"architecture 1"	289	TRUE
"architecture 1"	289	FALSE
"architecture 1"	289	TRUE
"architecture 1"	291	TRUE
"architecture 1"	291	TRUE
"architecture 1"	293	FALSE
"architecture 1"	297	TRUE
"architecture 1"	299	FALSE
"architecture 2"	102	FALSE
"architecture 2"	102	FALSE
"architecture 2"	106	FALSE
"architecture 2"	107	FALSE
"architecture 2"	109	FALSE
"architecture 2"	110	FALSE
"architecture 2"	111	TRUE
"architecture 2"	115	FALSE
"architecture 2"	119	FALSE
"architecture 2"	119	FALSE
"architecture 2"	123	FALSE
"architecture 2"	123	FALSE
"architecture 2"	126	FALSE
"architecture 2"	127	TRUE
"architecture 2"	132	FALSE
"architecture 2"	135	FALSE
"architecture 2"	137	FALSE
"architecture 2"	139	TRUE
"architecture 2"	148	TRUE
"architecture 2"	149	FALSE
"architecture 2"	150	FALSE
"architecture 2"	156	TRUE
"architecture 2"	156	FALSE
"architecture 2"	166	FALSE
"architecture 2"	167	FALSE
"architecture 2"	167	TRUE
"architecture 2"	167	FALSE
"architecture 2"	168	TRUE
"architecture 2"	170	FALSE
"architecture 2"	170	FALSE
"architecture 2"	174	TRUE
"architecture 2"	176	FALSE
"architecture 2"	176	FALSE
"architecture 2"	177	FALSE
"architecture 2"	178	TRUE
"architecture 2"	180	FALSE
"architecture 2"	180	TRUE
"architecture 2"	182	TRUE
"architecture 2"	183	FALSE
"architecture 2"	184	TRUE
"architecture 2"	193	TRUE
"architecture 2"	194	TRUE
"architecture 2"	196	FALSE
"architecture 2"	199	FALSE
"architecture 2"	205	TRUE
"architecture 2"	206	TRUE
"architecture 2"	207	TRUE
"architecture 2"	208	TRUE
"architecture 2"	211	FALSE
"architecture 2"	211	TRUE
"architecture 2"	212	FALSE
"architecture 2"	214	TRUE
"architecture 2"	219	FALSE
"architecture 2"	221	TRUE
"architecture 2"	224	TRUE
"architecture 2"	228	TRUE
"architecture 2"	229	TRUE
"architecture 2"	229	TRUE
"architecture 2"	229	TRUE
"architecture 2"	230	FALSE
"architecture 2"	230	TRUE
"architecture 2"	231	FALSE
"architecture 2"	231	TRUE
"architecture 2"	232	FALSE
"architecture 2"	233	TRUE
"architecture 2"	234	TRUE
"architecture 2"	238	TRUE
"architecture 2"	239	TRUE
"architecture 2"	242	FALSE
"architecture 2"	242	FALSE
"architecture 2"	243	FALSE
"architecture 2"	246	TRUE
"architecture 2"	246	FALSE
"architecture 2"	247	TRUE
"architecture 2"	247	FALSE
"architecture 2"	251	TRUE
"architecture 2"	252	TRUE
"architecture 2"	254	TRUE
"architecture 2"	256	TRUE
"architecture 2"	261	TRUE
"architecture 2"	264	FALSE
"architecture 2"	266	FALSE
"architecture 2"	266	TRUE
"architecture 2"	266	TRUE
"architecture 2"	266	TRUE
"architecture 2"	269	FALSE
"architecture 2"	270	TRUE
"architecture 2"	274	TRUE
"architecture 2"	275	TRUE
"architecture 2"	281	TRUE
"architecture 2"	281	TRUE
"architecture 2"	286	TRUE
"architecture 2"	290	TRUE
"architecture 2"	291	FALSE
"architecture 2"	291	TRUE
"architecture 2"	292	TRUE
"architecture 2"	292	TRUE
"architecture 2"	294	TRUE
"architecture 2"	299	TRUE
"architecture 2"	299	TRUE
