"realism"	"acceptability"
1	6
2	8
6	27
6	22
7	26
8	31
10	37
11	38
12	38
13	41
14	50
18	58
19	59
20	64
20	63
21	66
21	64
24	74
24	74
25	74
26	77
27	79
27	77
29	83
32	88
33	90
33	89
33	89
34	88
34	87
35	89
37	96
38	96
38	94
38	94
39	94
39	97
40	95
41	99
41	98
41	99
43	97
44	98
46	97
46	100
48	100
48	99
48	100
48	100
48	100
49	100
50	98
52	99
53	100
55	97
57	99
60	93
63	97
64	91
65	95
65	90
65	89
66	90
66	90
67	85
69	88
69	83
71	83
71	83
72	81
72	80
73	79
76	71
77	70
77	69
78	72
78	72
78	69
78	66
79	67
79	68
80	64
81	63
82	57
83	59
84	52
86	45
86	45
87	44
88	42
88	45
89	39
90	36
90	34
91	31
91	30
93	22
94	20
96	16
99	1
